From,To,Assignment Name,Value,Enabled
,VGA_R_0,P$1,PIN_A5,Yes
,VGA_R_1,P$2,PIN_B5,Yes
,VGA_R_2,P$3,PIN_B6,Yes
,VGA_R_3,P$4,PIN_D6,Yes
,VGA_R_4,P$5,PIN_C6,Yes
,VGA_R_5,P$6,PIN_A7,Yes
,VGA_R_6,P$7,PIN_B7,Yes
,VGA_R_7,P$8,PIN_E7,Yes
,VGA_G_0,P$9,PIN_D7,Yes
,VGA_G_1,P$10,PIN_F7,Yes
,VGA_G_2,P$11,PIN_A8,Yes
,VGA_G_3,P$12,PIN_G8,Yes
,VGA_G_4,P$13,PIN_C8,Yes
,VGA_G_5,P$14,PIN_H8,Yes
,VGA_G_6,P$15,PIN_A9,Yes
,VGA_G_7,P$16,PIN_D9,Yes
,VGA_BLANK_N,P$17,PIN_C9,Yes
,VGA_B_0,P$18,PIN_E9,Yes
,VGA_B_1,P$19,PIN_F9,Yes
,VGA_B_2,P$20,PIN_A10,Yes
,VGA_B_3,P$21,PIN_B10,Yes
,VGA_B_4,P$22,PIN_E10,Yes
,VGA_B_5,P$23,PIN_F10,Yes
,VGA_B_6,P$24,PIN_G10,Yes
,VGA_B_7,P$25,PIN_B11,Yes
,VGA_CLK,P$26,PIN_G11,Yes
,VGA_HSYNC,P$27,PIN_C11,Yes
,VGA_VSYNC,P$28,PIN_H11,Yes
,AUDIO_LEFT,P$29,PIN_J11,Yes
,AUDIO_RIGHT,P$30,PIN_A12,Yes
,GPIOC_17,P$31,PIN_B12,Yes
,GPIOC_16,P$32,PIN_D12,Yes
,GPIOC_15,P$33,PIN_E12,Yes
,GPIOC_14,P$34,PIN_F12,Yes
,GPIOC_13,P$35,PIN_A13,Yes
,GPIOC_12,P$36,PIN_B13,Yes
,GPIOC_11,P$37,PIN_D13,Yes
,GPIOC_10,P$38,PIN_C13,Yes
,GPIOC_9,P$39,PIN_F13,Yes
,GPIOC_8,P$40,PIN_G13,Yes
,GPIOC_7,P$41,PIN_A14,Yes
,GPIOC_6,P$42,PIN_E14,Yes
,GPIOC_5,P$43,PIN_F14,Yes
,GPIOC_4,P$44,PIN_H14,Yes
,GPIOC_3,P$45,PIN_A15,Yes
,GPIOC_2,P$46,PIN_B15,Yes
,GPIOC_1,P$47,PIN_E15,Yes
,GPIOC_0,P$48,PIN_C15,Yes
,GPIOA_0,P$49,PIN_F15,Yes
,GPIOB_0,P$50,PIN_G15,Yes
,GPIOA_1,P$51,PIN_B16,Yes
,GPIOB_1,P$52,PIN_E16,Yes
,GPIOA_2,P$53,PIN_C16,Yes
,GPIOB_2,P$54,PIN_D17,Yes
,GPIOA_3,P$55,PIN_G17,Yes
,GPIOB_3,P$56,PIN_G18,Yes
,GPIOA_4,P$57,PIN_G16,Yes
,GPIOB_4,P$58,PIN_H18,Yes
,GPIOA_5,P$59,PIN_J18,Yes
,GPIOB_5,P$60,PIN_J19,Yes
,GPIOA_6,P$61,PIN_J17,Yes
,GPIOB_6,P$62,PIN_K22,Yes
,GPIOA_7,P$63,PIN_K21,Yes
,GPIOB_7,P$64,PIN_K19,Yes
,GPIOA_8,P$65,PIN_K20,Yes
,GPIOB_8,P$66,PIN_K17,Yes
,GPIOA_9,P$67,PIN_K16,Yes
,GPIOB_9,P$68,PIN_L22,Yes
,GPIOA_10,P$69,PIN_L19,Yes
,GPIOB_10,P$70,PIN_L18,Yes
,GPIOA_11,P$71,PIN_L17,Yes
,GPIOB_11,P$72,PIN_M22,Yes
,GPIOA_12,P$73,PIN_M21,Yes
,GPIOB_12,P$74,PIN_M18,Yes
,GPIOA_13,P$75,PIN_M20,Yes
,GPIOB_13,P$76,PIN_M16,Yes
,GPIOA_14,P$77,PIN_N21,Yes
,GPIOB_14,P$78,PIN_N19,Yes
,GPIOA_15,P$79,PIN_N20,Yes
,GPIOB_15,P$80,PIN_N16,Yes
,GPIOA_16,P$81,PIN_P22,Yes
,GPIOB_16,P$82,PIN_P18,Yes
,GPIOA_17,P$83,PIN_P19,Yes
,GPIOB_17,P$84,PIN_P17,Yes
,GPIOA_18,P$85,PIN_P16,Yes
,GPIOB_18,P$86,PIN_R22,Yes
,GPIOA_19,P$87,PIN_R21,Yes
,GPIOB_19,P$88,PIN_R17,Yes
,GPIOA_20,P$89,PIN_R16,Yes
,GPIOB_20,P$90,PIN_T22,Yes
,GPIOA_21,P$91,PIN_T19,Yes
,GPIOB_21,P$92,PIN_T20,Yes
,GPIOA_22,P$93,PIN_T18,Yes
,GPIOB_22,P$94,PIN_T17,Yes
,GPIOA_23,P$95,PIN_U22,Yes
,GPIOB_23,P$96,PIN_U21,Yes
,GPIOA_24,P$97,PIN_U20,Yes
,GPIOB_24,P$98,PIN_V21,Yes
,GPIOA_25,P$99,PIN_V19,Yes
,GPIOB_25,P$100,PIN_V20,Yes
,GPIOA_26,P$101,PIN_W22,Yes
,GPIOB_26,P$102,PIN_W21,Yes
,GPIOA_27,P$103,PIN_Y22,Yes
,GPIOB_27,P$104,PIN_Y21,Yes
,GPIOA_28,P$105,PIN_AA22,Yes
,GPIOB_28,P$106,PIN_AB22,Yes
,GPIOA_29,P$107,PIN_AB21,Yes
,GPIOB_29,P$108,PIN_AB20,Yes
,GPIOA_30,P$109,PIN_AA20,Yes
,GPIOB_30,P$110,PIN_Y20,Yes
,GPIOA_31,P$111,PIN_AA19,Yes
,GPIOB_31,P$112,PIN_W19,Yes
,GPIOA_32,P$113,PIN_Y19,Yes
,GPIOB_32,P$114,PIN_AB18,Yes
,GPIOA_33,P$115,PIN_AA18,Yes
,GPIOB_33,P$116,PIN_V18,Yes
,GPIOA_34,P$117,PIN_AB17,Yes
,GPIOB_34,P$118,PIN_AA17,Yes
,GPIOA_35,P$119,PIN_U17,Yes
,GPIOB_35,P$120,PIN_Y17,Yes
,GPIOC_35,P$121,PIN_Y16,Yes
,GPIOC_34,P$122,PIN_V16,Yes
,GPIOC_33,P$123,PIN_W16,Yes
,GPIOC_32,P$124,PIN_U16,Yes
,GPIOC_31,P$125,PIN_AB15,Yes
,GPIOC_30,P$126,PIN_AA15,Yes
,GPIOC_29,P$127,PIN_V15,Yes
,GPIOC_28,P$128,PIN_Y15,Yes
,GPIOC_27,P$129,PIN_U15,Yes
,GPIOC_26,P$130,PIN_T15,Yes
,GPIOC_25,P$131,PIN_AA14,Yes
,GPIOC_24,P$132,PIN_V14,Yes
